code,code_name,D1日期,D2日期,D1收盘价,D2收盘价,D1-D2收益率,D1_5日均线,D1_20日均线,D1_60日均线,D1_J值,D2_J值,持仓天数
sz.000408,藏格矿业,2024-11-26,2024-11-27,28.02,28.38,1.28,28.64,29.4,26.84,-6.63,15.09,1
sz.000408,藏格矿业,2025-01-24,2025-01-27,30.15,30.76,2.02,30.78,29.24,28.79,-6.16,5.64,3
sz.000408,藏格矿业,2025-03-26,2025-03-31,35.7,35.84,0.39,36.05,34.95,31.95,-8.62,0.24,5
sz.000425,徐工机械,2024-05-30,2024-06-04,7.35,7.38,0.41,7.65,7.68,6.92,-2.67,13.57,5
sz.000425,徐工机械,2024-11-15,2024-11-25,7.72,7.75,0.39,8.0,7.91,7.18,-13.92,15.04,10
sz.000425,徐工机械,2025-03-18,2025-03-26,8.93,8.67,-2.91,9.15,8.98,8.12,-10.33,8.34,8
sz.000538,云南白药,2024-09-10,2024-09-19,52.64,50.61,-3.86,53.27,53.7,52.33,-3.1,0.73,9
sz.000538,云南白药,2024-10-17,2024-10-21,55.3,57.3,3.62,56.67,54.72,53.41,-9.76,12.83,4
sz.000568,泸州老窖,2024-04-10,2024-04-11,175.7,178.24,1.45,183.55,185.97,168.55,-6.41,2.1,1
sz.000568,泸州老窖,2024-04-12,2024-04-15,170.86,180.94,5.9,176.66,184.85,169.04,-7.67,19.75,3
sz.000568,泸州老窖,2024-05-15,2024-05-16,180.82,185.38,2.52,184.21,183.5,178.86,-7.3,10.11,1
sz.000568,泸州老窖,2024-10-17,2024-10-21,131.19,134.21,2.3,136.63,123.99,124.39,-11.5,2.85,4
sz.000568,泸州老窖,2024-11-22,2024-11-26,136.29,136.87,0.43,140.96,142.44,129.19,-2.32,3.02,4
sz.000568,泸州老窖,2025-03-21,2025-03-27,130.68,134.12,2.63,138.23,131.11,123.64,-0.83,3.4,6
sz.000568,泸州老窖,2025-03-31,2025-04-01,129.72,130.89,0.9,131.97,133.61,123.87,-2.36,5.74,1
sz.000596,古井贡酒,2024-04-10,2024-04-11,255.15,257.13,0.78,259.87,256.56,229.74,-3.98,0.64,1
sz.000596,古井贡酒,2024-04-12,2024-04-15,252.18,262.65,4.15,254.97,257.89,231.15,-9.32,26.74,3
sz.000596,古井贡酒,2024-05-15,2024-05-17,263.13,267.15,1.53,268.63,265.1,249.69,-3.96,13.44,2
sz.000596,古井贡酒,2024-10-17,2024-10-21,184.15,190.45,3.42,189.96,172.55,177.18,-5.41,4.58,4
sz.000596,古井贡酒,2024-11-18,2024-11-20,195.67,196.36,0.35,202.56,199.09,180.73,-1.85,2.58,2
sz.000596,古井贡酒,2024-11-22,2024-11-26,187.0,189.8,1.5,193.61,199.07,181.73,-4.67,10.55,4
sz.000596,古井贡酒,2025-03-21,2025-04-01,175.79,171.31,-2.55,182.67,176.53,170.82,-10.82,6.48,11
sz.000617,中油资本,2024-11-15,2024-11-27,7.85,7.38,-5.99,8.37,8.49,6.84,-1.39,10.77,12
sz.000625,长安汽车,2024-04-23,2024-04-26,16.39,16.57,1.1,16.87,17.39,15.59,-3.29,20.87,3
sz.000625,长安汽车,2024-11-25,2024-11-27,13.9,13.87,-0.22,14.48,14.39,13.23,-4.36,4.97,2
