code,code_name,信号日期,当日收盘价,5日均线,20日均线,60日均线,当日J值,前一日J值,5日收益率,10日收益率,30日收益率
sh.600958,东方证券,2024-10-17,10.07,10.38,9.73,8.8,-9.75,14.73,4.57,4.67,7.35
sh.601012,隆基绿能,2024-10-17,15.61,16.16,15.08,14.2,-6.13,21.59,19.15,26.46,17.04
sh.601059,信达证券,2024-10-17,14.88,15.28,14.45,13.65,-14.66,1.68,4.23,2.89,-0.07
sh.601066,中信建投,2024-10-17,25.55,26.71,23.56,20.65,-2.3,34.71,1.29,-0.35,5.13
sh.601088,中国神华,2024-10-17,40.99,41.92,40.62,40.21,-2.57,5.19,0.73,-2.32,-1.76
sh.601136,首创证券,2024-10-17,20.65,21.26,20.13,19.65,-12.89,4.1,8.43,4.46,14.77
sh.601138,工业富联,2024-10-17,23.71,24.32,22.23,21.67,-0.02,21.96,6.92,2.28,-7.84
sh.601236,红塔证券,2024-10-17,8.07,8.53,7.74,7.05,-3.95,27.7,2.35,4.96,3.47
sh.601377,兴业证券,2024-10-17,6.16,6.23,5.89,5.43,-8.09,7.14,2.92,6.17,2.92
sh.601607,上海医药,2024-10-17,20.41,20.36,19.75,19.46,-0.19,3.41,2.3,-5.19,6.91
sh.601689,拓普集团,2024-10-17,41.69,42.76,40.59,37.11,-8.33,3.25,9.4,4.41,18.23
sh.601788,光大证券,2024-10-17,16.9,17.43,16.5,15.24,-13.91,3.34,2.66,2.54,15.15
sh.601808,中海油服,2024-10-17,14.97,15.44,14.63,14.62,-8.18,15.36,2.81,0.73,-1.07
sh.601816,京沪高铁,2024-10-17,5.62,5.72,5.56,5.62,-6.05,10.8,0.53,-3.38,1.96
sh.601865,福莱特,2024-10-17,18.12,18.71,17.63,17.68,-7.7,16.65,26.99,58.66,36.59
sh.601878,浙商证券,2024-10-17,12.68,13.02,12.42,11.45,-12.97,4.81,3.86,2.05,-3.55
sh.601881,中国银河,2024-10-17,14.03,14.52,13.23,11.44,-2.37,22.45,3.71,3.78,8.7
sh.601888,中国中免,2024-10-17,65.44,68.71,64.41,63.81,-15.92,1.13,3.61,3.65,4.34
sh.601899,紫金矿业,2024-10-17,17.14,17.33,16.53,16.13,-3.7,2.19,2.04,-1.87,-9.39
sh.601901,方正证券,2024-10-17,8.21,8.46,7.96,7.44,-11.45,9.76,3.05,5.72,2.19
sh.601995,中金公司,2024-10-17,34.3,36.14,33.28,30.03,-11.3,9.46,4.96,3.27,1.9
